LONG_NAME,Purpose_name,Short_name,meeting_date,scrip_code,tm
Reliance Industries Ltd,Dividend,RELIANCE,30 Apr 2020,500325.0,2020-04-30T00:00:00
Reliance Industries Ltd,General,RELIANCE,30 Apr 2020,500325.0,2020-04-30T00:00:00
Reliance Industries Ltd,Results,RELIANCE,30 Apr 2020,500325.0,2020-04-30T00:00:00
Reliance Industries Ltd,Rights,RELIANCE,30 Apr 2020,500325.0,2020-04-30T00:00:00
Reliance Industries Ltd,General,RELIANCE,02 Apr 2020,500325.0,2020-04-02T00:00:00
Reliance Industries Ltd,Results,RELIANCE,17 Jan 2020,500325.0,2020-01-17T00:00:00
Reliance Industries Ltd,Results,RELIANCE,18 Oct 2019,500325.0,2019-10-18T00:00:00
Reliance Industries Ltd,Results,RELIANCE,19 Jul 2019,500325.0,2019-07-19T00:00:00
Reliance Industries Ltd,Dividend,RELIANCE,18 Apr 2019,500325.0,2019-04-18T00:00:00
Reliance Industries Ltd,General,RELIANCE,18 Apr 2019,500325.0,2019-04-18T00:00:00
