Change,Dt_tm,HighRate,ISIN_NUMBER,Instrument,LowRate,Ltradert,OpenRate,ScripName,TURNOVER,VOLUME,YTM,change_percent,scrip_cd
,,,INE110L08011,Debentures and Bonds,,0.0,,RIL-8.95%-15-09-20-PVT,,,,0.0,946839.0
,,,INE110L08029,Debentures and Bonds,,0.0,,RIL-8.95%-4-10-2020-PVT,,,,0.0,946866.0
,,,INE110L08060,Debentures and Bonds,,0.0,,RIL-9%-21-1-25-PVT,,,,0.0,951556.0
,,,INE002A08484,Debentures and Bonds,,0.0,,RIL-6.78%-16-9-20-PVT,,,,0.0,956839.0
,,,INE002A08492,Debentures and Bonds,,0.0,,RIL-6.80%-4-9-20-PVT,,,,0.0,956840.0
,,,INE110L07096,Debentures and Bonds,,0.0,,RIL-8%-16-4-23-PVT,,,,0.0,957862.0
,,,INE110L07104,Debentures and Bonds,,0.0,,RIL-7.97%-24-4-22-PVT,,,,0.0,957904.0
,,,INE110L07120,Debentures and Bonds,,0.0,,RIL-8.70%-18-7-21-PVT,,,,0.0,958110.0
,,,INE002A08534,Debentures and Bonds,,0.0,,RIL-9.05%-17-10-28-PVT,,,,0.0,958311.0
,,,INE002A08542,Debentures and Bonds,,0.0,,RIL-8.95%-9-11-28-PVT,,,,0.0,958354.0
,,,INE002A08583,Debentures and Bonds,,0.0,,RIL-8.70%-11-12-28-PVT,,,,0.0,958437.0
,,,INE002A08575,Debentures and Bonds,,0.0,,RIL-8.30%-8-3-22-PVT,,,,0.0,958626.0
,,,INE002A08591,Debentures and Bonds,,0.0,,RIL-RBI Repo Rate-17-4-23-PVT,,,,0.0,959418.0
,,,INE002A08617,Debentures and Bonds,,0.0,,RIL-7.40%-25-4-25-PVT,,,,0.0,959428.0
,,,INE002A08625,Debentures and Bonds,,0.0,,RIL-7.05%-13-9-23-PVT,,,,0.0,959468.0
,,,INE002A08641,Debentures and Bonds,,0.0,,RIL-6.95%-15-3-23-PVT,,,,0.0,959470.0
,,,INE002A07775,Debentures and Bonds,,0.0,,RIL07MAY10,,,,0.0,946678.0
,,,INE002A08518,Debentures and Bonds,,0.0,,RIL-6.95%-14-12-20-PVT,,,,0.0,957159.0
,,,INE110L07088,Debentures and Bonds,,0.0,,RIL-8%-9-4-23-PVT,,,,0.0,957846.0
,,,INE110L07112,Debentures and Bonds,,0.0,,RIL-8.7%-15-6-21-PVT,,,,0.0,957992.0
,,,INE002A08633,Debentures and Bonds,,0.0,,RIL-6.95%-12-5-23-PVT,,,,0.0,959469.0
,,,INE110L07047,Debentures and Bonds,,0.0,,RIL-8.25%-30-10-25-PVT,,,,0.0,952917.0
,,,INE002A08500,Debentures and Bonds,,0.0,,RIL-7.17%-8-11-22-PVT,,,,0.0,957116.0
,,,INE002A08526,Debentures and Bonds,,0.0,,RIL-7.07%-24-12-20-PVT,,,,0.0,957176.0
,,,INE002A08658,Debentures and Bonds,,0.0,,RIL-MIBOR-21-9-23-PVT,,,,0.0,959486.0
,,,INE110L07070,Debentures and Bonds,,0.0,,RIL-8.32%-8-7-21-PVT,,,,0.0,954293.0
,,,INE002A08476,Debentures and Bonds,,0.0,,RIL-7%-31-8-22-PVT,,,,0.0,956838.0
,,,INE002A08567,Debentures and Bonds,,0.0,,RIL-8.65%-11-12-28-PVT,,,,0.0,958438.0
,,,INE002A08609,Debentures and Bonds,,0.0,,RIL-7.20%-17-4-23-PVT,,,,0.0,959417.0
,,,INE110L08037,Debentures and Bonds,,0.0,,RIL-9.25%-16-6-24-PVT,,,,0.0,950380.0
