DT_TM,Industry_name,Long_Name,MEETING_DATE,PURPOSE_NAME,Short_name,URL,scrip_code
Jul 19 2019 11:01PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,12 Aug 2019,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Jun  7 2018  6:45PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,05 Jul 2018,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Aug  1 2017 11:08AM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,02 Sep 2017,Postal Ballot,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Jun 26 2017  3:55PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,21 Jul 2017,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Aug  4 2016  6:11PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,01 Sep 2016,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
May 15 2015  7:52PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,12 Jun 2015,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Feb 23 2015  3:46PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,28 Mar 2015,Postal Ballot,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Apr 18 2014  5:57PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,18 Jun 2014,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Apr 16 2013  5:11PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,06 Jun 2013,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Apr 20 2012  5:52PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,07 Jun 2012,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Apr 25 2011  9:32AM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,03 Jun 2011,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
May 18 2010  8:43AM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,18 Jun 2010,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Oct 16 2009  9:54AM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,17 Nov 2009,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Apr 22 2008 12:07PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,12 Jun 2008,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Sep 11 2007  4:50PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,12 Oct 2007,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Jun  1 2006  3:03PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,27 Jun 2006,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
Jul  8 2005  3:18PM,Integrated Oil & Gas,RELIANCE INDUSTRIES LTD.,03 Aug 2005,A.G.M.,RELIANCE,https://www.bseindia.com/stock-share-price/reliance-industries-ltd/reliance/500325/,500325.0
